,Natural,SQL
298,In which year with paper with paper ID equals 'C14-1006' published?,SELECT DISTINCT ConfID_Venue_Year.Year FROM ConfID_Venue_Year JOIN ConfID_PaperID ON ConfID_PaperID.ConfID=ConfID_Venue_Year.ConfID JOIN PaperID_Title ON ConfID_PaperID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.PaperID='C14-1006'
299,What was the venue of the paper with paper ID equals 'N15-1059' published?,SELECT DISTINCT ConfID_Venue_Year.Venue FROM ConfID_Venue_Year JOIN ConfID_PaperID ON ConfID_PaperID.ConfID=ConfID_Venue_Year.ConfID JOIN PaperID_Title ON ConfID_PaperID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.PaperID='N15-1059'
300,What was the venue and the year of the paper with paper ID equals 'W09-0612'?,"SELECT DISTINCT ConfID_Venue_Year.Venue,ConfID_Venue_Year.Year FROM ConfID_Venue_Year JOIN ConfID_PaperID ON ConfID_PaperID.ConfID=ConfID_Venue_Year.ConfID JOIN PaperID_Title ON ConfID_PaperID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.PaperID='W09-0612'"
301,What was the year of publishing the paper 'Crowdsourced Comprehension: Predicting Prerequisite Structure in Wikipedia'?,SELECT DISTINCT ConfID_Venue_Year.Year FROM ConfID_Venue_Year JOIN ConfID_PaperID ON ConfID_PaperID.ConfID=ConfID_Venue_Year.ConfID JOIN PaperID_Title ON ConfID_PaperID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.Title='Crowdsourced Comprehension: Predicting Prerequisite Structure in Wikipedia'
302,What was the name of the place where paper 'Museli: A Multi-Source Evidence Integration Approach To Topic Segmentation Of Spontaneous Dialogue' published?,SELECT DISTINCT ConfID_Venue_Year.Venue FROM ConfID_Venue_Year JOIN ConfID_PaperID ON ConfID_PaperID.ConfID=ConfID_Venue_Year.ConfID JOIN PaperID_Title ON ConfID_PaperID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.Title='Museli: A Multi-Source Evidence Integration Approach To Topic Segmentation Of Spontaneous Dialogue'
303,Give the place and year of the paper 'Opinion Mining and Topic Categorization with Novel Term Weighting',"SELECT DISTINCT ConfID_Venue_Year.Venue,ConfID_Venue_Year.Year FROM ConfID_Venue_Year JOIN ConfID_PaperID ON ConfID_PaperID.ConfID=ConfID_Venue_Year.ConfID JOIN PaperID_Title ON ConfID_PaperID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.Title='Opinion Mining and Topic Categorization with Novel Term Weighting'"
304,What is the ConfID of the paper 'Predicting Automatic Speech Recognition Performance Using Prosodic Cues',SELECT DISTINCT ConfID_Venue_Year.ConfID FROM ConfID_Venue_Year JOIN ConfID_PaperID ON ConfID_PaperID.ConfID=ConfID_Venue_Year.ConfID JOIN PaperID_Title ON ConfID_PaperID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.Title='Predicting Automatic Speech Recognition Performance Using Prosodic Cues'
305,Display all the papers published in the year 1992 at 'SocialNLP',SELECT DISTINCT PaperID_Title.Title FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year='1992' AND ConfID_Venue_Year.Venue='SocialNLP'
306,Give the numbers of papers published in the year 1982 at 'SocialNLP',SELECT DISTINCT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year='1982' AND ConfID_Venue_Year.Venue='SocialNLP'
307,Display all the papers published on and after year 1988 at 'Workshop On Parsing Technology',SELECT DISTINCT PaperID_Title.Title FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year >= '1988' AND ConfID_Venue_Year.Venue='Workshop On Parsing Technology'
308,Display all the title of the papers published after year 1969 at 'Workshop On Parsing Technology',SELECT DISTINCT PaperID_Title.Title FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year > '1969' AND ConfID_Venue_Year.Venue='Workshop On Parsing Technology'
309,Display all the conference venue on field 'SocialNLP' in year 2007,SELECT DISTINCT ConfID_Venue_Year.Venue FROM ConfID_Venue_Year JOIN ConfID_FieldID ON ConfID_Venue_Year.ConfID=ConfID_FieldID.ConfID JOIN FieldID_Topic ON ConfID_FieldID.FieldID=FieldID_Topic.FieldID Where FieldID_Topic.Topic Like 'SocialNLP' and ConfID_Venue_Year.Year='2007'
